,k2=600,,,,,,k2=900,,,,,
,LS,LAV,SVR,MLP,AsyLAV,AsySVR,LS,LAV,SVR,MLP,AsyLAV,AsySVR
1,28.09212721,40.92673635,12.72562716,18.16637296,245.9164065,250.8916131,28.09212721,40.92673635,12.72562716,18.16637296,253.537429,262.0024773
2,144.919086,90.73921081,144.8811639,171.0860132,290.6669235,290.5790617,144.919086,90.73921081,144.8811639,171.0860132,284.1372975,299.1253637
3,193.0695758,192.2915486,165.4684123,161.2377057,356.3193241,363.1218768,193.0695758,192.2915486,165.4684123,161.2377057,348.4204447,364.15248
4,-84.79948302,-78.17682579,-69.50219441,70.17199761,65.46453822,70.05941117,-84.79948302,-78.17682579,-69.50219441,70.17199761,64.35667653,96.03946893
5,-380.6666312,-336.7167312,-360.1123005,-184.1955715,-204.652145,-196.6141745,-380.6666312,-336.7167312,-360.1123005,-184.1955715,-190.6731424,-143.5106174
6,34.45800602,55.4622995,17.96259304,34.99893538,217.5234848,216.8977911,34.45800602,55.4622995,17.96259304,34.99893538,241.8233325,299.4816408
7,280.6767816,194.2122662,225.3395678,169.4090954,452.9937478,443.5994672,280.6767816,194.2122662,225.3395678,169.4090954,488.1280453,551.2384851
8,409.2630701,418.996433,422.7173779,275.801567,677.5933694,665.2229654,409.2630701,418.996433,422.7173779,275.801567,708.4520502,744.9823271
9,387.9157023,352.112611,416.6009799,341.5053168,658.3507843,646.1208458,387.9157023,352.112611,416.6009799,341.5053168,683.8621213,690.0206551
10,414.6566815,470.6951773,471.9350554,551.8892576,724.7408614,722.452162,414.6566815,470.6951773,471.9350554,551.8892576,748.0199605,723.3511808
11,177.2356391,185.9388976,189.7308177,459.1727917,471.7428852,475.2429516,177.2356391,185.9388976,189.7308177,459.1727917,512.4332634,480.5253381
12,5.680637321,36.88584942,23.24143991,245.2951722,273.5264982,283.3366209,5.680637321,36.88584942,23.24143991,245.2951722,332.195083,302.7231471
13,-315.3732759,-306.5235273,-327.2452467,6.492200936,-2.818744249,5.885395701,-315.3732759,-306.5235273,-327.2452467,6.492200936,66.98787405,47.08831112
14,-258.9801441,-274.7215391,-273.0499992,-80.35898857,44.03037971,42.05787135,-258.9801441,-274.7215391,-273.0499992,-80.35898857,124.1855803,125.2933909
15,-25.7925037,-82.95682009,-100.3196917,-69.63350242,264.0717614,251.2683011,-25.7925037,-82.95682009,-100.3196917,-69.63350242,345.5588182,355.5131033
16,285.441126,217.8563092,247.9982774,164.3006417,599.8520356,575.8457474,285.441126,217.8563092,247.9982774,164.3006417,681.7252734,699.1300524
17,9.480126008,5.638816357,22.71954737,152.9596841,386.9771002,365.9579069,9.480126008,5.638816357,22.71954737,152.9596841,447.0794431,451.7786987
18,220.3836094,229.60663,232.4382842,286.696955,566.7439992,549.689642,220.3836094,229.60663,232.4382842,286.696955,621.6554707,618.3106543
19,153.4357048,175.5227472,171.4583603,317.3801216,442.0879517,441.3407162,153.4357048,175.5227472,171.4583603,317.3801216,472.7987653,451.7799236
20,298.9819398,278.7034333,285.9671141,474.102635,506.3056254,513.9808016,298.9819398,278.7034333,285.9671141,474.102635,543.2581266,521.3588757
21,-40.61363766,-1.629224538,10.82588891,351.6683683,204.5022197,220.6227468,-40.61363766,-1.629224538,10.82588891,351.6683683,250.0316704,228.2489062
22,-199.3729303,-161.9971405,-155.4601277,114.9357845,34.10715004,46.59255865,-199.3729303,-161.9971405,-155.4601277,114.9357845,77.31739298,71.59787283
23,140.734877,122.4648545,108.4086659,154.7670625,338.0685632,340.0034768,140.734877,122.4648545,108.4086659,154.7670625,387.9616082,404.9872772
24,267.3814201,222.9405092,190.9520049,144.7535486,518.1687796,508.4615717,267.3814201,222.9405092,190.9520049,144.7535486,553.762743,584.2678236
25,204.860939,220.5576835,231.5362813,258.5191603,445.7195531,437.6463279,204.860939,220.5576835,231.5362813,258.5191603,472.6564881,485.968451
26,53.9506305,70.67245963,112.168927,106.4414389,318.8660201,309.6048093,53.9506305,70.67245963,112.168927,106.4414389,320.5013648,315.5641671
27,-29.7501519,44.95327342,43.21481935,-40.81326491,186.998227,182.1591722,-29.7501519,44.95327342,43.21481935,-40.81326491,181.1268859,161.6424713
28,108.555086,101.4211343,120.6259928,65.21734519,296.9161504,288.7996607,108.555086,101.4211343,120.6259928,65.21734519,292.567578,275.3306921
29,-49.89441717,39.12503075,-1.293664099,126.1816564,184.0454637,178.1535136,-49.89441717,39.12503075,-1.293664099,126.1816564,169.0830231,143.1467267
30,30.75811968,38.69274636,12.71240237,309.7068579,197.4923343,190.8743726,30.75811968,38.69274636,12.71240237,309.7068579,210.3920355,196.9492903
31,104.1390413,129.9986655,124.6053894,239.6005931,321.7992224,314.2182569,104.1390413,129.9986655,124.6053894,239.6005931,331.6023123,322.3600519
32,-17.89792333,-8.309830415,-47.15462021,215.0304311,216.4838406,207.4379419,-17.89792333,-8.309830415,-47.15462021,215.0304311,251.6234197,258.8197205
33,-142.7883041,-167.2206966,-100.9077328,32.89502793,100.7736483,86.26420748,-142.7883041,-167.2206966,-100.9077328,32.89502793,127.2733788,145.0283043
34,-214.3074624,-232.1779133,-221.7173409,78.70102868,87.51921134,73.00347007,-214.3074624,-232.1779133,-221.7173409,78.70102868,108.7158949,127.2994728
35,-35.89392014,-56.61279207,-19.32490055,26.97055259,164.1382203,156.3212219,-35.89392014,-56.61279207,-19.32490055,26.97055259,175.0879124,182.980758
36,53.90132632,77.32596974,53.49606482,0.880036951,297.408851,297.8868216,53.90132632,77.32596974,53.49606482,0.880036951,302.5316254,307.1970392
37,-107.6539138,-123.0486983,-65.13021363,-41.56201198,79.15289568,84.92730429,-107.6539138,-123.0486983,-65.13021363,-41.56201198,94.31421667,105.3479977
38,-311.0242403,-243.9915266,-277.3123096,-55.46254877,-43.01839676,-32.61488994,-311.0242403,-243.9915266,-277.3123096,-55.46254877,-18.59288759,-2.352691356
39,27.21833789,-10.51533399,8.00490228,62.60157363,209.6374461,210.9274604,27.21833789,-10.51533399,8.00490228,62.60157363,241.5724511,281.3835015
40,152.0356491,110.4457317,88.54847202,59.212945,332.9604468,331.5369013,152.0356491,110.4457317,88.54847202,59.212945,374.8584521,412.6673759
41,40.22536639,15.98505191,65.58725978,148.4380966,277.7499561,273.4582171,40.22536639,15.98505191,65.58725978,148.4380966,309.8250626,345.2854144
42,-173.0378601,-114.716036,-94.9155078,-55.22202854,36.09970962,44.38106489,-173.0378601,-114.716036,-94.9155078,-55.22202854,46.2909734,50.41047556
43,26.01387346,17.53370161,22.20997577,-148.5200845,200.8356889,205.3213234,26.01387346,17.53370161,22.20997577,-148.5200845,209.8310987,213.7766728
44,-124.5028305,-106.8006075,-131.9150623,-123.0169876,34.29395979,47.56047129,-124.5028305,-106.8006075,-131.9150623,-123.0169876,38.42739511,28.93112856
45,-95.86040408,-77.39249398,-68.54874442,-73.76845994,57.11181462,65.66654535,-95.86040408,-77.39249398,-68.54874442,-73.76845994,73.3645621,66.7329405
46,73.74804744,62.13661221,59.2720559,25.3911418,241.5590688,247.409288,73.74804744,62.13661221,59.2720559,25.3911418,261.5924086,262.2766371
47,82.75480063,62.62946932,71.72321807,133.3259503,243.9355723,246.488609,82.75480063,62.62946932,71.72321807,133.3259503,265.7774712,272.5903394
48,-87.32879603,-85.60901975,-114.2625971,12.67579039,110.3310335,113.0823788,-87.32879603,-85.60901975,-114.2625971,12.67579039,130.546518,139.1834863
49,-13.45722299,-28.25847119,-20.83067276,69.71532197,145.4194878,145.3334601,-13.45722299,-28.25847119,-20.83067276,69.71532197,167.2953314,182.8608622
50,-47.3723988,-87.89468606,-51.22758051,9.834870944,129.1829137,127.3257289,-47.3723988,-87.89468606,-51.22758051,9.834870944,144.650013,160.6597439
51,24.28174205,11.41585261,23.29517855,31.07160517,187.8308504,187.7095211,24.28174205,11.41585261,23.29517855,31.07160517,192.6736216,204.6338065
52,-25.05180308,-38.36474061,-16.32462097,-65.08783718,112.4859315,117.9409799,-25.05180308,-38.36474061,-16.32462097,-65.08783718,117.8251916,122.6509327
53,-45.85825673,-62.49688968,-55.58497877,-95.59808962,164.8631656,169.4051654,-45.85825673,-62.49688968,-55.58497877,-95.59808962,175.011864,181.8123115
54,18.11202668,2.51860162,-1.480874616,-156.9965563,220.994455,225.6243039,18.11202668,2.51860162,-1.480874616,-156.9965563,252.1148742,261.9772223
55,5.295694794,-48.23765297,1.169601098,-155.1813098,253.6066015,250.2759953,5.295694794,-48.23765297,1.169601098,-155.1813098,301.8262273,326.008627
56,113.2751022,63.55305117,93.59492124,-126.8942045,377.7113283,373.4284439,113.2751022,63.55305117,93.59492124,-126.8942045,430.6186282,451.1862476
57,120.8020359,37.51613939,75.14367884,6.064499868,384.4782727,377.4679573,120.8020359,37.51613939,75.14367884,6.064499868,449.1636675,469.1959198
58,220.7606102,217.2313963,222.6410143,109.1988929,545.9805649,541.9268645,220.7606102,217.2313963,222.6410143,109.1988929,607.5528309,613.8828508
59,32.76362554,-29.64543111,53.32313431,55.58037994,289.1442505,286.5940173,32.76362554,-29.64543111,53.32313431,55.58037994,358.3416694,353.1212901
60,149.8935904,149.23051,167.8772587,55.84513445,423.8337429,426.0197857,149.8935904,149.23051,167.8772587,55.84513445,491.9830672,476.4411565
61,138.084026,116.8324162,112.7610054,79.54709393,466.7272908,465.0203852,138.084026,116.8324162,112.7610054,79.54709393,537.0862972,526.2421176
